gml_id,fonte,comune_istat,area_m2,n_px,strip,sr_coastalblue,sr_blue,sr_greeni,sr_green,sr_yellow,sr_red,sr_rededge,sr_nir,ndvi
Mappatura_2020.5192,Mappatura_2020,03108028,72.2,7,20260512_101812_73_2553_3B,0.0993,0.1116,0.1267,0.134,0.1399,0.14020000000000002,0.15560000000000002,0.2081,0.1949
Mappatura_2020.5194,Mappatura_2020,03108028,320.6,35,20260512_101812_73_2553_3B,0.06810000000000001,0.0819,0.09730000000000001,0.10210000000000001,0.1097,0.1131,0.1269,0.19870000000000002,0.2745
Mappatura_2020.5196,Mappatura_2020,03108028,50.7,5,20260512_101812_73_2553_3B,0.1468,0.18460000000000001,0.2165,0.21130000000000002,0.2029,0.22610000000000002,0.218,0.2728,0.0936
Mappatura_2020.5197,Mappatura_2020,03108028,398.1,46,20260512_101812_73_2553_3B,0.09835,0.11410000000000001,0.13165000000000002,0.1366,0.14300000000000002,0.1462,0.1568,0.22335000000000002,0.2088
Mappatura_2020.5199,Mappatura_2020,03108028,557.7,62,20260512_101812_73_2553_3B,0.083,0.0945,0.11215,0.12025000000000001,0.1305,0.1342,0.15125,0.22535000000000002,0.2535
Mappatura_2020.5266,Mappatura_2020,03108019,832.4,94,20260512_101812_73_2553_3B,0.1091,0.13235,0.1558,0.1607,0.17045000000000002,0.17875000000000002,0.18725,0.23770000000000002,0.1416
Mappatura_2020.5267,Mappatura_2020,03108019,377.0,39,20260512_101812_73_2553_3B,0.0969,0.1163,0.13470000000000001,0.1348,0.139,0.1487,0.16110000000000002,0.2323,0.2194
Mappatura_2020.5268,Mappatura_2020,03108019,178.2,21,20260512_101812_73_2553_3B,0.0843,0.11030000000000001,0.1283,0.1241,0.1268,0.1356,0.1424,0.2248,0.2475
Mappatura_2020.5269,Mappatura_2020,03108019,241.4,28,20260512_101812_73_2553_3B,0.0631,0.07935,0.0927,0.09875,0.10065,0.09970000000000001,0.12885,0.22645,0.3886
Mappatura_2020.5273,Mappatura_2020,03108019,127.9,15,20260512_101812_73_2553_3B,0.07,0.0902,0.11320000000000001,0.1198,0.12860000000000002,0.1368,0.15910000000000002,0.2626,0.315
Mappatura_2020.5274,Mappatura_2020,03108019,113.0,15,20260512_101812_73_2553_3B,0.053000000000000005,0.06720000000000001,0.0787,0.0772,0.0834,0.0877,0.0951,0.1353,0.2135
Mappatura_2020.5277,Mappatura_2020,03108019,28.3,5,20260512_101812_73_2553_3B,0.059300000000000005,0.0732,0.0879,0.093,0.1077,0.1008,0.1302,0.21580000000000002,0.3632
Mappatura_2020.5280,Mappatura_2020,03108019,150.9,16,20260512_101812_73_2553_3B,0.07400000000000001,0.0814,0.09815,0.10355,0.11095000000000001,0.11595000000000001,0.13695000000000002,0.2064,0.2806
Mappatura_2020.5281,Mappatura_2020,03108019,1172.4,130,20260512_101812_73_2553_3B,0.08750000000000001,0.1042,0.12065000000000001,0.12395,0.1283,0.1375,0.14635,0.2116,0.2123
Mappatura_2020.5283,Mappatura_2020,03108019,242.2,26,20260512_101812_73_2553_3B,0.06715,0.08755,0.1039,0.1038,0.10740000000000001,0.1149,0.12560000000000002,0.20875000000000002,0.29
Mappatura_2020.5284,Mappatura_2020,03108019,83.5,8,20260512_101812_73_2553_3B,0.058550000000000005,0.06735000000000001,0.0813,0.08665,0.10350000000000001,0.10205,0.1198,0.16835,0.2452
Mappatura_2020.5293,Mappatura_2020,03108019,51.9,5,20260512_101812_73_2553_3B,0.0645,0.0731,0.091,0.0947,0.09770000000000001,0.0979,0.1203,0.21000000000000002,0.3641
Mappatura_2020.5295,Mappatura_2020,03108019,228.1,24,20260512_101812_73_2553_3B,0.09820000000000001,0.11385,0.1331,0.13645000000000002,0.1441,0.14755000000000001,0.165,0.2447,0.2477
Mappatura_2020.5299,Mappatura_2020,03108019,276.5,31,20260512_101812_73_2553_3B,0.08990000000000001,0.1159,0.1327,0.13920000000000002,0.1386,0.1499,0.1622,0.24980000000000002,0.2499
